,id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1
180,S00141,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.54160917,0.009082735
181,S00142,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.5623328,0.014821408
182,S00143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.50722,0.045149058
183,S00144,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.57411873,0.06111235
184,S00145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.46135837,0.034097783
185,S00146,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.48741856,0.08529452
186,S00147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.42927295,0.051593162
187,S00148,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.40578532,0.09772271
188,S00149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.42773283,0.08683639
189,S00150,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.4995675,0.000954438
190,S00151,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.61357963,0.048069473
191,S00152,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.38168478,0.09150642
192,S00153,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.6846353,0.07564968
193,S00154,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.70876366,0.11291925
194,S00155,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.672814,0.09713072
195,S00156,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.6664395,0.117625885
196,S00157,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21322833,0.70500016
