,id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1
224,S00195,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.32751232,0.07869722
225,S00196,0.0,0.2,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.990887,0.58524716
226,S00197,0.0,0.0,0.2,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.08263932,0.6530836
227,S00198,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.2693024,0.9007913
228,S00199,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.3274205,0.078684054
229,S00200,0.0,0.0,0.2,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.984273,0.5881105
230,S00201,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.08362015,0.6534277
231,S00202,0.0,0.0,0.0,0.8,0.2,0.0,1.0,0.0,0.0,0.0,0.27372897,0.90415895
232,S00203,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,1.0,0.0,0.32776102,0.077317655
233,S00204,0.0,0.0,0.0,0.8,0.2,1.0,0.0,0.0,0.0,0.0,0.99000144,0.5757769
