id,pred_avg_Pnma_uncorrected,pred_avg_Pbcm_uncorrected
S00682,0.470675035,0.468417865
S00683,0.450004753,0.44591871
S00684,0.471074693,0.472505365
S00685,0.476719894,0.475580305
S00686,0.478141127,0.48288606
S00687,0.476836579,0.471340775
S00688,0.478844129,0.47359283
S00689,0.442318332,0.436349
S00690,0.457808085,0.46014251
S00691,0.44239653,0.442719875
S00692,0.458653075,0.459150015
S00693,0.461029475,0.46311151
S00694,0.462882095,0.45598644
S00695,0.442522756,0.43800713
S00696,0.457607665,0.465791405
S00697,0.46220415,0.46170604
S00698,0.492451922,0.495240855
S00699,0.490905907,0.48622674
S00700,0.492155378,0.48540098
S00701,0.456871808,0.46346022
S00702,0.45673644,0.459296875
S00703,0.454525224,0.454117
S00704,0.461327429,0.4638498
S00705,0.460771142,0.45256647
S00706,0.461304332,0.46089953
S00707,0.454574209,0.450869365
S00708,0.471805096,0.47613443
S00709,0.472302,0.47357075
S00710,0.478696993,0.482652025
S00711,0.476500408,0.47816026
S00712,0.477675691,0.475009395
S00713,0.488898261,0.47641346
S00714,0.496392148,0.48425066
S00715,0.492569956,0.473835125
S00716,0.501899796,0.488864885
S00717,0.49258768,0.477196145
S00718,0.500846092,0.489883985
S00719,0.531274764,0.49680315
S00720,0.530638023,0.49659395
S00721,0.536245828,0.49819514
S00722,0.487856518,0.47481339
S00723,0.495425165,0.48284808
S00724,0.527139456,0.494154875
S00725,0.533697779,0.5153206
S00726,0.532461629,0.518027395
S00727,0.535229425,0.522856665
S00728,0.535230527,0.52278728
S00729,0.489488329,0.478229255
S00730,0.495341032,0.48802983
S00731,0.497999278,0.47796418
S00732,0.502428673,0.486843875
S00733,0.498303181,0.47307494
S00734,0.506549813,0.489284935
S00735,0.499846833,0.47611672
S00736,0.505428591,0.48371006
S00737,0.509638955,0.4857192
S00738,0.486789388,0.473724365
S00739,0.491629289,0.48509912
S00740,0.496139853,0.47700219
S00741,0.487192575,0.47843011
S00742,0.490067516,0.47964004
S00743,0.493695215,0.48322822
S00744,0.4901128,0.47895847
S00745,0.490101433,0.46211328
S00746,0.497934589,0.47971295
S00747,0.490103363,0.4609217
S00748,0.497775305,0.48280615
S00749,0.490713701,0.46865867
S00750,0.498283796,0.47887729
S00751,0.514942807,0.489725855
S00752,0.515020678,0.493302435
S00753,0.515095462,0.49142397
S00754,0.487235715,0.4698502
S00755,0.497212853,0.480183435
S00756,0.511918275,0.4887342
S00757,0.532838883,0.51693407
S00758,0.533472102,0.513114225
S00759,0.533622757,0.5129017
S00760,0.533373555,0.51605345
S00761,0.490486338,0.463140415
S00762,0.496147319,0.478221805
S00763,0.490847686,0.474189015
S00764,0.496144729,0.47874506
S00765,0.49018783,0.465370535
S00766,0.49796712,0.48422946
S00767,0.488883141,0.469360145
S00768,0.494928567,0.48126067
S00769,0.491960585,0.475782275
S00770,0.485499968,0.46883328
S00771,0.492432813,0.4758657
S00772,0.484950771,0.472714725
S00773,0.486627704,0.471609275
S00774,0.489675745,0.47586636
S00775,0.489020504,0.4743644
S00776,0.485997914,0.471701525
