id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1,count,entropy,potential_initial,uncertainty_initial,potential_final,uncertainty_final
S00141,1,0,0,0,0,0,0.4,0.6,0,0,0,0.54160917,0.009082735,3,5.595419,0.652632385,0.026208551,0.682912223,0.009847548
S00142,1,0,0,0,0,0,0.6,0.4,0,0,0,0.5623328,0.014821408,3,5.595419,0.607884595,0.036084341,0.679498097,0.009417981
S00143,1,0,0,0,0,0,0,0.6,0,0.4,0,0.50722,0.045149058,3,5.595419,0.648704022,0.027611201,0.678438901,0.00958257
S00144,1,0,0,0,0,0,0.6,0,0,0.4,0,0.57411873,0.06111235,3,5.595419,0.59724829,0.034922023,0.667013061,0.008455622
S00145,1,0,0,0,0,0,0,0.6,0.4,0,0,0.46135837,0.034097783,3,5.595419,0.663486742,0.029059165,0.684594685,0.010799657
S00146,1,0,0,0,0,0,0.6,0,0.4,0,0,0.48741856,0.08529452,3,5.595419,0.617248213,0.036558773,0.669849504,0.01010553
S00147,1,0,0,0,0,0,0,0.4,0.6,0,0,0.42927295,0.051593162,3,5.595419,0.65141221,0.028183235,0.680287265,0.010522645
S00148,1,0,0,0,0,0,0.4,0,0.6,0,0,0.40578532,0.09772271,3,5.595419,0.646614726,0.026466393,0.667676394,0.010101973
S00149,1,0,0,0,0,0,0,0,0.6,0.4,0,0.42773283,0.08683639,3,5.595419,0.649500103,0.029661416,0.674098653,0.010111983
S00150,1,0,0,0,0,0.4,0,0.6,0,0,0,0.4995675,0.000954438,3,5.595419,0.616210145,0.022810604,0.652909468,0.009627325
S00151,1,0,0,0,0,0.4,0.6,0,0,0,0,0.61357963,0.048069473,3,5.595419,0.590761711,0.032084043,0.650070985,0.008335091
S00152,1,0,0,0,0,0.4,0,0,0.6,0,0,0.38168478,0.09150642,3,5.595419,0.610888189,0.022955267,0.635587309,0.008362105
S00153,1,0,0,0,0,0.6,0,0.4,0,0,0,0.6846353,0.07564968,3,5.595419,0.619519779,0.023450253,0.648539387,0.008867211
S00154,1,0,0,0,0,0.6,0.4,0,0,0,0,0.70876366,0.11291925,3,5.595419,0.621959423,0.023458727,0.645540428,0.008559186
